日期,累积收益率
2010-01-08,"['600000' '000785' '000782' '000779' '000778' '000777' '000768' '000767'
 '000766' '000762']"
2010-01-11,"['600066' '002035' '002116' '300033' '002241' '002322' '002117' '002079'
 '002310' '002129']"
2010-01-12,"['600066' '002003' '002035' '002117' '600455' '002304' '002014' '000902'
 '000726' '600575']"
2010-01-13,"['600066' '002117' '600455' '300033' '002003' '600345' '002322' '000895'
 '000902' '002225']"
2010-01-14,"['600345' '300033' '002003' '002322' '002035' '002117' '002225' '000963'
 '600309' '600498']"
2010-01-15,"['300033' '002003' '600345' '600309' '600105' '002117' '002322' '000895'
 '002035' '600575']"
2010-01-18,"['300033' '002003' '002035' '600373' '600309' '600345' '600455' '600612'
 '002273' '000050']"
2010-01-19,"['300033' '600612' '002035' '600373' '002003' '600552' '600012' '002117'
 '000789' '002322']"
2010-01-20,"['600012' '600612' '600373' '600552' '002227' '300033' '600575' '600610'
 '600133' '002035']"
2010-01-21,"['600612' '600373' '600012' '300033' '600552' '002003' '002035' '000789'
 '002238' '600114']"
2010-01-22,"['600612' '600012' '600552' '600373' '600610' '002238' '300033' '002227'
 '600523' '000519']"
2010-01-25,"['600066' '600612' '600552' '600373' '600012' '600133' '600610' '002227'
 '600455' '600120']"
2010-01-26,"['600066' '300033' '600612' '600552' '600373' '600346' '600012' '000789'
 '600535' '600610']"
2010-01-27,"['600066' '600612' '600552' '300033' '600373' '002035' '600012' '000973'
 '002003' '600133']"
2010-01-28,"['600066' '600552' '002035' '600612' '600012' '300033' '002238' '000973'
 '600085' '002003']"
2010-01-29,"['600066' '002035' '600612' '600552' '600373' '600012' '000789' '300033'
 '600535' '002227']"
2010-02-01,"['600066' '002035' '000789' '600373' '600612' '300033' '600012' '000735'
 '002227' '600133']"
2010-02-02,"['600066' '002035' '000789' '600552' '600373' '600612' '600012' '300033'
 '002227' '600523']"
2010-02-03,"['600066' '000789' '002035' '600012' '600552' '600612' '600373' '000735'
 '000886' '300033']"
2010-02-04,"['600066' '000789' '002035' '600552' '600612' '600373' '000735' '600012'
 '000886' '002227']"
2010-02-05,"['600066' '000789' '002035' '600552' '000735' '600373' '600612' '600012'
 '600610' '000886']"
2010-02-08,"['600066' '002035' '000789' '000735' '600373' '600552' '600612' '600012'
 '600610' '000567']"
2010-02-09,"['600066' '002035' '000789' '600373' '600612' '600012' '600552' '600610'
 '600692' '002198']"
2010-02-10,"['600066' '002035' '000789' '600373' '600552' '600612' '600012' '300033'
 '600610' '600692']"
2010-02-11,"['600066' '002035' '000789' '600373' '600612' '600552' '300033' '600012'
 '600610' '600892']"
2010-02-12,"['600066' '002035' '000789' '600373' '600612' '300033' '600552' '600012'
 '600610' '600133']"
2010-02-22,"['600066' '002035' '000789' '600373' '600612' '600552' '000703' '300033'
 '600012' '600892']"
2010-02-23,"['600066' '002035' '000789' '000703' '300033' '600612' '600552' '600373'
 '600133' '600012']"
2010-02-24,"['600066' '002035' '000789' '000703' '600373' '600552' '000735' '600612'
 '000632' '600133']"
2010-02-25,"['002035' '600066' '000789' '000703' '600552' '600373' '600612' '000735'
 '300033' '000632']"
2010-03-11,"['600066' '002035' '000703' '000789' '300033' '600346' '600612' '600552'
 '000671' '600433']"
2010-03-12,"['600066' '002035' '000703' '000789' '300033' '600346' '600552' '600433'
 '600612' '600133']"
2010-03-15,"['600066' '002035' '000703' '000789' '300033' '600346' '600552' '600433'
 '600612' '000632']"
2010-03-16,"['600066' '002035' '000703' '000789' '600346' '300033' '600552' '600612'
 '600433' '000811']"
2010-03-17,"['600066' '002035' '000703' '000789' '300033' '600346' '600552' '600433'
 '600612' '000632']"
2010-03-18,"['600066' '002035' '000789' '000703' '600346' '300033' '600433' '600461'
 '600612' '002043']"
2010-03-19,"['002035' '600066' '000703' '000789' '600346' '300033' '600552' '600433'
 '600461' '600612']"
2010-03-22,"['002035' '000703' '600346' '000789' '600066' '300033' '000671' '600552'
 '002043' '600433']"
2010-03-23,"['002035' '600066' '000703' '600346' '000789' '300033' '000671' '600552'
 '002043' '600612']"
2010-03-24,"['002035' '000703' '600346' '000789' '300033' '600066' '000671' '600552'
 '600406' '002043']"
2010-03-25,"['600066' '002035' '000703' '600346' '300033' '000789' '000671' '300002'
 '002294' '300015']"
2010-03-26,"['600066' '002035' '600346' '300033' '000789' '600612' '000671' '300015'
 '002294' '300002']"
2010-03-29,"['002035' '600066' '600346' '000703' '300033' '000789' '600612' '000671'
 '002294' '300002']"
2010-03-31,"['002035' '600066' '000703' '300033' '600346' '000789' '000671' '600612'
 '000559' '002043']"
