日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,2010-01-08,8.23,8.33,8.4,8.08,136622,180206480.0,3.85,0.12,0.01,1.11
2010-01-11,2010-01-11,8.73,8.89,9.17,8.48,412804,577230080.0,8.28,6.72,0.56,3.35
2010-01-12,2010-01-12,8.89,9.73,9.86,8.89,565121,835722048.0,10.91,9.45,0.84,4.59
2010-01-13,2010-01-13,9.33,9.39,9.79,9.21,366147,539195264.0,5.96,-3.49,-0.34,2.97
2010-01-14,2010-01-14,9.39,9.64,9.95,9.39,273944,411277056.0,5.96,2.66,0.25,2.22
2010-01-15,2010-01-15,9.68,9.67,9.73,9.38,204605,302497984.0,3.63,0.31,0.03,1.66
2010-01-18,2010-01-18,9.65,9.96,10.01,9.57,198632,301354432.0,4.55,3.0,0.29,1.61
2010-01-19,2010-01-19,9.96,9.63,9.96,9.48,172943,257834592.0,4.82,-3.31,-0.33,1.4
2010-01-20,2010-01-20,9.57,8.98,9.61,8.8,339780,486387200.0,8.41,-6.75,-0.65,2.76
2010-01-21,2010-01-21,8.98,9.04,9.16,8.7,145858,205053392.0,5.12,0.67,0.06,1.18
2010-01-22,2010-01-22,8.87,8.95,9.22,8.61,180592,253880880.0,6.75,-1.0,-0.09,1.47
2010-01-25,2010-01-25,8.98,9.01,9.38,8.95,170547,244732592.0,4.8,0.67,0.06,1.39
2010-01-26,2010-01-26,9.01,8.4,9.13,8.4,148391,203149712.0,8.1,-6.77,-0.61,1.21
2010-01-27,2010-01-27,8.33,8.29,8.56,8.13,106545,141907936.0,5.12,-1.31,-0.11,0.87
2010-01-28,2010-01-28,8.33,8.48,8.61,8.21,88542,119194928.0,4.83,2.29,0.19,0.72
2010-01-29,2010-01-29,8.4,8.64,8.82,8.24,123057,168915424.0,6.84,1.89,0.16,1.0
2010-02-01,2010-02-01,8.65,8.39,8.68,8.23,73311,98284304.0,5.21,-2.89,-0.25,0.6
2010-02-02,2010-02-02,8.49,8.94,9.03,8.48,202569,283312416.0,6.56,6.56,0.55,1.65
2010-02-03,2010-02-03,9.0,9.14,9.23,8.71,202004,284974272.0,5.82,2.24,0.2,1.64
2010-02-04,2010-02-04,9.14,9.05,9.28,9.01,111463,159260688.0,2.95,-0.98,-0.09,0.91
2010-02-05,2010-02-05,8.73,8.58,8.78,8.48,131465,179495632.0,3.31,-5.19,-0.47,1.07
2010-02-08,2010-02-08,8.48,8.43,8.63,8.27,72281,96924416.0,4.2,-1.75,-0.15,0.59
2010-02-09,2010-02-09,8.38,8.5,8.67,8.34,51932,70178912.0,3.91,0.83,0.07,0.42
2010-02-10,2010-02-10,8.58,8.83,8.87,8.52,68223,93992496.0,4.12,3.88,0.33,0.55
2010-02-11,2010-02-11,8.78,8.67,8.86,8.65,48388,66917732.0,2.38,-1.81,-0.16,0.39
2010-02-12,2010-02-12,8.57,8.82,8.85,8.57,34539,47844660.0,3.23,1.73,0.15,0.28
2010-02-22,2010-02-22,8.82,8.98,9.18,8.68,79741,112689800.0,5.67,1.81,0.16,0.65
2010-02-23,2010-02-23,9.01,9.03,9.11,8.73,69413,97454760.0,4.23,0.56,0.05,0.56
2010-02-24,2010-02-24,9.01,9.33,9.34,8.91,107468,154832592.0,4.76,3.32,0.3,0.87
2010-02-25,2010-02-25,9.4,9.62,9.65,9.38,168883,249657616.0,2.89,3.11,0.29,1.37
2010-02-26,2010-02-26,9.6,9.7,9.78,9.4,144473,215385328.0,3.95,0.83,0.08,1.17
2010-03-01,2010-03-01,9.67,9.64,9.77,9.49,102771,153082272.0,2.89,-0.62,-0.06,0.83
2010-03-02,2010-03-02,9.58,9.39,9.68,9.37,93816,137868672.0,3.22,-2.59,-0.25,0.76
2010-03-03,2010-03-03,9.39,9.98,10.06,9.34,199245,300723424.0,7.67,6.28,0.59,1.62
2010-03-04,2010-03-04,9.98,9.48,9.99,9.45,129112,193120160.0,5.41,-5.01,-0.5,1.05
2010-03-05,2010-03-05,9.48,9.46,9.71,9.32,81587,120703408.0,4.11,-0.21,-0.02,0.66
2010-03-08,2010-03-08,9.48,9.66,9.72,9.36,67734,100159720.0,3.81,2.11,0.2,0.55
2010-03-09,2010-03-09,9.58,9.28,9.64,9.28,117814,171768416.0,3.73,-3.93,-0.38,0.96
2010-03-10,2010-03-10,9.31,9.03,9.4,8.98,87291,124834024.0,4.53,-2.69,-0.25,0.71
2010-03-11,2010-03-11,9.06,8.98,9.23,8.88,87716,123937992.0,3.88,-0.55,-0.05,0.71
2010-03-12,2010-03-12,8.98,8.93,9.06,8.91,49054,69292552.0,1.67,-0.56,-0.05,0.4
2010-03-15,2010-03-15,8.94,8.8,9.02,8.7,49866,69342912.0,3.58,-1.46,-0.13,0.4
2010-03-16,2010-03-16,8.86,9.04,9.05,8.75,41918,58733672.0,3.41,2.73,0.24,0.34
2010-03-17,2010-03-17,9.07,9.23,9.26,9.03,66448,94945728.0,2.54,2.1,0.19,0.54
2010-03-18,2010-03-18,9.23,9.13,9.34,9.1,54760,78720928.0,2.6,-1.08,-0.1,0.44
2010-03-19,2010-03-19,9.15,9.45,9.5,9.15,85653,125112000.0,3.83,3.5,0.32,0.7
2010-03-22,2010-03-22,9.47,9.47,9.54,9.33,51976,75950096.0,2.22,0.21,0.02,0.42
2010-03-23,2010-03-23,9.39,9.08,9.4,9.07,88178,126356256.0,3.48,-4.12,-0.39,0.72
2010-03-24,2010-03-24,9.16,9.04,9.21,9.01,54191,77051120.0,2.2,-0.44,-0.04,0.44
2010-03-25,2010-03-25,9.07,9.12,9.22,8.95,59596,85074472.0,2.99,0.88,0.08,0.48
2010-03-26,2010-03-26,9.13,9.38,9.47,9.07,88517,128630352.0,4.39,2.85,0.26,0.72
2010-03-29,2010-03-29,9.45,9.45,9.53,9.3,107031,156699056.0,2.45,0.75,0.07,0.87
2010-03-30,2010-03-30,9.43,9.21,9.51,9.16,148406,214691808.0,3.7,-2.54,-0.24,1.21
2010-03-31,2010-03-31,9.15,9.0,9.23,8.91,142647,201845184.0,3.47,-2.28,-0.21,1.16
2010-04-01,2010-04-01,9.0,9.07,9.14,8.93,109424,154944048.0,2.33,0.78,0.07,0.89
2010-04-02,2010-04-02,9.08,8.95,9.11,8.88,126950,178425200.0,2.54,-1.32,-0.12,1.03
2010-04-06,2010-04-06,8.93,9.1,9.13,8.9,106212,150523184.0,2.57,1.68,0.15,0.86
2010-04-07,2010-04-07,9.05,8.98,9.07,8.9,91135,128012544.0,1.87,-1.32,-0.12,0.74
2010-04-08,2010-04-08,8.95,8.73,8.95,8.66,160955,222647616.0,3.23,-2.78,-0.25,1.31
2010-04-09,2010-04-09,8.68,8.86,8.86,8.68,64241,89170136.0,2.06,1.49,0.13,0.52
2010-04-12,2010-04-12,8.87,8.6,8.91,8.48,129983,178109680.0,4.85,-2.93,-0.26,1.06
2010-04-13,2010-04-13,8.57,8.89,8.9,8.53,120082,166341376.0,4.3,3.37,0.29,0.98
2010-04-14,2010-04-14,8.87,8.76,8.98,8.65,104951,145289568.0,3.71,-1.46,-0.13,0.85
2010-04-15,2010-04-15,8.77,8.55,8.8,8.46,128082,174109680.0,3.88,-2.4,-0.21,1.04
2010-04-16,2010-04-16,8.57,8.61,8.64,8.48,49895,67925712.0,1.87,0.7,0.06,0.41
2010-04-19,2010-04-19,8.5,7.99,8.57,7.98,117094,155281360.0,6.85,-7.2,-0.62,0.95
2010-04-20,2010-04-20,8.0,8.32,8.44,7.82,99959,129846912.0,7.76,4.13,0.33,0.81
2010-04-21,2010-04-21,8.3,8.42,8.48,8.24,61601,82482360.0,2.88,1.2,0.1,0.5
2010-04-22,2010-04-22,8.4,8.26,8.4,8.19,66129,87490552.0,2.49,-1.9,-0.16,0.54
2010-04-23,2010-04-23,8.26,8.43,8.47,8.26,73420,97957864.0,2.54,2.06,0.17,0.6
2010-04-27,2010-04-27,8.4,8.0,8.64,7.82,152314,202132960.0,9.73,-5.1,-0.43,1.24
2010-04-28,2010-04-28,8.02,7.83,8.03,7.74,56200,71811144.0,3.63,-2.13,-0.17,0.46
2010-04-29,2010-04-29,7.88,7.85,8.07,7.84,42764,55002088.0,2.94,0.26,0.02,0.35
2010-04-30,2010-04-30,7.87,7.62,7.96,7.33,67947,84319176.0,8.03,-2.93,-0.23,0.55
2010-05-04,2010-05-04,7.55,7.35,7.63,7.3,47713,58416020.0,4.33,-3.54,-0.27,0.39
2010-05-05,2010-05-05,7.24,7.55,7.58,7.24,50544,62005216.0,4.63,2.72,0.2,0.41
2010-05-06,2010-05-06,7.55,7.27,7.62,7.24,74683,91159216.0,5.03,-3.71,-0.28,0.61
2010-05-07,2010-05-07,7.15,7.12,7.36,7.08,69994,83788632.0,3.85,-2.06,-0.15,0.57
2010-05-10,2010-05-10,7.1,7.48,7.48,7.07,72254,87684448.0,5.76,5.06,0.36,0.59
